StartDate,EndDate,Duration,MTurkCode,Browser Meta Info-Browser,Browser Meta Info-Operating System,96 AW_1,96 AW_2,96 GL_1,96 GL_2,128 AW_1,128 AW_2,128 GL_1,128 GL_2,256 AW_1,256 AW_2,256 GL_1,256 GL_2,lossle AW_1,lossle AW_2,lossle GL_1,lossle GL_2,96 AW2_1,96 AW2_2,96 GL2_1,96 GL2_2,128 AW2_1,128 AW2_2,128 GL2_1,128 GL2_2,256 AW2_1,256 AW2_2,256 GL2_1,256 GL2_2,lossle AW2_1,lossle AW2_2,lossle GL2_1,lossle GL2_2,Fuel Text,Instruct 2,P2 C 96_1,P2 C 96_2,P2 C 256_1,P2 C 256_2,P2 C Loss_1,P2 C Loss_2,P2 T 96_1,P2 T 96_2,P2 T 256_1,P2 T 256_2,P2 T Loss_1,P2 T Loss_2,SpeakType,NormalUse,ListFreq,ListLoc,Age
2015-08-16 08:54:11,2015-08-16 09:00:56,6m 45s,382232233,Firefox,Windows NT 10.0,,,,,,,,,3,5,5,7,,,,,,,,,4,6,5,7,,,,,,,,,1,1,7,6,7,6,7,6,,,,,,,2,1,7,4,6
2015-08-16 08:34:41,2015-08-16 08:40:47,6m 6s,723042082,Firefox,Windows NT 6.0,,,,,,,,,,,,,6,7,5,7,,,,,,,,,6,7,5,7,,,,,1,1,,,,,,,7,5,7,5,7,5,1,2,7,4,6
2015-08-16 07:55:56,2015-08-16 08:04:59,9m 3s,275588597,Safari,Macintosh,,,,,,,,,5,6,3,5,,,,,,,,,5,3,2,6,,,,,,,,,1,1,5,6,5,6,5,6,,,,,,,2,1,7,4,6
2015-08-16 07:45:14,2015-08-16 07:53:57,8m 43s,979885672,Safari,Macintosh,3,3,5,6,,,,,,,,,,,,,3,5,5,7,,,,,,,,,,,,,1,1,,,,,,,5,5,5,6,5,7,4,1,7,4,3
2015-08-16 07:35:51,2015-08-16 07:43:38,7m 47s,493746825,Chrome,Windows NT 10.0,,,,,5,3,7,7,,,,,,,,,,,,,,,,,,,,,5,4,7,6,1,1,,,,,,,5,3,5,6,7,7,2,1,7,2,3
2015-08-16 07:31:20,2015-08-16 07:40:17,8m 57s,599948921,Safari iPad,iPad,7,6,6,7,,,,,,,,,,,,,,,,,,,,,7,7,6,7,,,,,1,1,7,6,7,7,7,7,,,,,,,4,1,7,4,5
2015-08-16 06:23:04,2015-08-16 07:17:53,54m 49s,596692868,Chrome,Windows NT 6.1,,,,,6,5,5,6,,,,,,,,,5,6,5,6,,,,,,,,,,,,,1,1,6,5,5,6,6,5,,,,,,,1,1,6,4,4
2015-08-16 04:54:26,2015-08-16 05:10:39,16m 13s,622402368,Firefox,Windows NT 5.1,,,,,,,,,6,5,6,6,,,,,6,5,6,6,,,,,,,,,,,,,1,1,,,,,,,7,6,7,6,7,6,2,1,6,4,5
2015-08-16 04:47:39,2015-08-16 04:55:01,7m 22s,567482422,Firefox,Windows NT 6.1,,,,,,,,,,,,,6,6,6,7,,,,,,,,,,,,,6,6,6,7,1,1,,,,,,,6,6,6,6,6,6,4,1,5,4,3
2015-08-16 02:37:10,2015-08-16 02:44:58,7m 48s,854500320,Firefox,Windows NT 5.1,,,,,5,6,3,5,,,,,,,,,,,,,,,,,,,,,6,7,3,5,1,1,6,6,6,6,6,6,,,,,,,5,1,4,4,6
2015-08-16 00:58:13,2015-08-16 01:06:03,7m 50s,703558351,Firefox,Windows NT 6.3,,,,,,,,,6,6,3,6,,,,,,,,,,,,,,,,,6,6,3,6,1,1,,,,,,,6,6,6,6,6,6,1,1,4,4,4
2015-08-16 00:43:47,2015-08-16 00:51:20,7m 33s,965300424,Firefox,Windows NT 6.2,,,,,5,6,3,5,,,,,,,,,,,,,,,,,,,,,5,5,4,5,1,1,5,3,5,5,5,5,,,,,,,5,1,7,4,3
2015-08-16 00:11:45,2015-08-16 00:19:10,7m 25s,346101098,Firefox,Windows NT 6.0,5,6,5,6,,,,,,,,,,,,,,,,,5,6,5,6,,,,,,,,,1,1,,,,,,,7,6,7,6,7,6,2,1,7,4,4
2015-08-15 23:49:45,2015-08-15 23:56:10,6m 25s,465717365,Firefox,Windows NT 6.3,,,,,,,,,2,4,2,2,,,,,,,,,,,,,,,,,2,4,2,2,1,1,4,4,4,4,4,4,,,,,,,5,1,7,4,3
2015-08-15 23:46:48,2015-08-15 23:55:13,8m 25s,333130382,Chrome,Windows NT 5.1,,,,,,,,,3,2,5,7,,,,,4,5,5,6,,,,,,,,,,,,,1,1,,,,,,,5,4,7,6,3,2,2,1,7,4,3
2015-08-15 23:40:50,2015-08-15 23:55:15,14m 25s,692426512,Firefox,Windows NT 6.1,,,,,5,4,6,7,,,,,,,,,,,,,,,,,6,7,6,7,,,,,1,1,7,7,7,7,7,7,,,,,,,6,1,7,4,4
2015-08-15 23:33:44,2015-08-15 23:41:35,7m 51s,362521794,Firefox,Windows NT 6.1,,,,,,,,,5,6,6,6,,,,,,,,,,,,,5,6,6,6,,,,,1,1,,,,,,,6,6,6,6,6,5,1,1,7,4,4
2015-08-15 22:51:37,2015-08-15 23:02:14,10m 37s,174461383,Firefox,Windows NT 6.1,,,,,6,6,6,7,,,,,,,,,,,,,7,7,7,7,,,,,,,,,1,1,5,3,3,3,4,2,,,,,,,4,1,7,4,5
2015-08-15 22:40:24,2015-08-15 22:47:07,6m 43s,679337239,Chrome,Windows NT 6.3,6,6,5,6,,,,,,,,,,,,,6,6,5,6,,,,,,,,,,,,,1,1,,,,,,,6,6,7,7,6,6,1,1,6,1,4
2015-08-15 22:39:36,2015-08-15 22:47:43,8m 7s,754525491,Firefox,Windows NT 6.1,,,,,,,,,6,6,5,7,,,,,6,6,5,7,,,,,,,,,,,,,1,1,,,,,,,6,6,6,7,6,7,2,1,6,4,5
